case,method,n,target_mean,grand_mean,target_error,root_n_iqr_scale,root_n_sd
t1_tail,nuts,250,0.2951672353008664,0.29603124999999997,0.0008640146991335529,1.535450958897552,1.4710539602397348
t1_tail,nuts,1000,0.2951672353008664,0.2946953125,-0.0004719228008664422,1.2951704653296146,1.5454151576034167
t1_tail,nuts,4000,0.2951672353008664,0.29233984375000005,-0.002827391550866365,1.4944274599957095,1.6839080136179563
t1p5_tail,iid,250,0.22418833035605107,0.22243750000000004,-0.0017508303560510308,0.42195598870467094,0.4118125385768795
t1p5_tail,iid,1000,0.22418833035605107,0.22328906250000002,-0.0008992678560510448,0.42195598870467127,0.42926695149942107
t1p5_tail,iid,4000,0.22418833035605107,0.22353125000000001,-0.0006570803560510541,0.4541887378418336,0.40759521374485824
t1p5_tail,ula,250,0.22418833035605107,0.2165625,-0.007625830356051078,2.7661559259528423,3.9329156852647595
t1p5_tail,ula,1000,0.22418833035605107,0.21353125,-0.010657080356051063,3.6100679033621845,5.38856464533997
t1p5_tail,ula,4000,0.22418833035605107,0.221390625,-0.002797705356051061,4.149233888929263,7.9038266297851445
t1p5_tail,uhmc_5,250,0.22418833035605107,0.22006250000000002,-0.004125830356051047,0.9376799748992688,1.1165465422911678
t1p5_tail,uhmc_5,1000,0.22418833035605107,0.2175390625,-0.006649267856051078,1.154518469094724,1.1530439163925723
t1p5_tail,uhmc_5,4000,0.22418833035605107,0.22644921875000001,0.0022608883939489455,1.2307049670552899,1.736234226387083
t1p5_tail,uhmc_10,250,0.22418833035605107,0.22825000000000004,0.0040616696439489675,0.9845639736442324,1.4623624506283912
t1p5_tail,uhmc_10,1000,0.22418833035605107,0.229609375,0.005421044643948936,1.1310764697222424,1.7849953544349435
t1p5_tail,uhmc_10,4000,0.22418833035605107,0.232921875,0.008733544643948932,0.9435404747423886,3.1523168270262363
t1p5_tail,uhmc_random,250,0.22418833035605107,0.22818750000000004,0.003999169643948974,1.1252159698791229,1.5403417020437764
t1p5_tail,uhmc_random,1000,0.22418833035605107,0.22778125,0.003592919643948922,1.1134949701928811,1.5397460548369093
t1p5_tail,uhmc_random,4000,0.22418833035605107,0.23031640625,0.0061280758939489255,1.3156822147805363,1.8097531962667277
t1p5_tail,hmc_5,250,0.22418833035605107,0.2179375,-0.0062508303560510625,0.8439119774093419,1.1062310098908341
t1p5_tail,hmc_5,1000,0.22418833035605107,0.2158671875,-0.008321142856051067,1.2307049670552899,1.4313936334076112
t1p5_tail,hmc_5,4000,0.22418833035605107,0.220142578125,-0.004045752231051081,1.6468004559168394,1.5614571273670357
t1p5_tail,hmc_10,250,0.22418833035605107,0.21653125000000004,-0.0076570803560510325,0.9376799748992688,1.0907592124061198
t1p5_tail,hmc_10,1000,0.22418833035605107,0.21925,-0.004938330356051068,1.0314479723891952,1.197010712428795
t1p5_tail,hmc_10,4000,0.22418833035605107,0.22249999999999998,-0.0016883303560510932,0.890795976154306,1.1264221107797658
t1p5_tail,hmc_random,250,0.22418833035605107,0.21590625000000002,-0.008282080356051047,0.8556329770955827,0.9888341928875751
t1p5_tail,hmc_random,1000,0.22418833035605107,0.21878124999999998,-0.005407080356051086,1.2717284659571328,1.2053550951946945
t1p5_tail,hmc_random,4000,0.22418833035605107,0.22013085937500002,-0.004057470981051053,1.4006594625057835,1.5594920998905581
t1p5_tail,nuts,250,0.22418833035605107,0.22631250000000003,0.002124169643948959,1.23070496705529,1.2611857781188045
t1p5_tail,nuts,1000,0.22418833035605107,0.22816406250000001,0.003975732143948946,1.447543461250746,1.4338911177969023
t1p5_tail,nuts,4000,0.22418833035605107,0.229591796875,0.005403466518948935,1.2541469664277716,1.2841567457336307
