chain_id,ula,uhmc_10,uhmc_uniform_19
269,1.0669679910821068,1.117682430359451,1.1265455261887773
270,1.0443842948628643,1.108411857863658,1.1222529897512028
271,1.1510551327647496,1.1273097714878877,1.1047665379641343
272,1.1969245930362256,1.1254098255394824,1.1105545240395063
273,1.1089249413487787,1.1214154550584663,1.1247216002595453
274,1.0517047240459563,1.1508266198802646,1.1244374599643192
275,1.1477176383938887,1.1202670736997784,1.175607646750051
276,1.1495682386884667,1.108362322782862,1.128207424960594
277,1.1255478637578342,1.114894204414611,1.1418649556911153
278,1.0717823949420204,1.148401487211969,1.117176894945763
279,1.1384863815655362,1.1295787431538864,1.106434997688095
280,1.0937041807059844,1.1154500397183482,1.1087533885089595
281,1.0534621631940797,1.1269828463247704,1.130717287306263
282,1.077119271097728,1.1152796896451516,1.1104967477793117
283,1.1516756659341905,1.1360741125454095,1.1505924684091537
284,1.09454449456663,1.1022076713021576,1.1247416096600482
285,1.2310012899245977,1.107296335883478,1.1239187552936587
286,1.0267459837074109,1.1442308502916965,1.1198953177171278
287,1.0988402592443938,1.1243251913381673,1.1087452528691317
288,1.0257208468182921,1.134427401013856,1.1098639492762858
289,1.0890212404552144,1.111970871425987,1.1205414075428997
290,1.0837232074075223,1.096810896983733,1.135329337030056
291,1.1643412385258007,1.1455048594143848,1.113654102063606
292,1.1920190261280963,1.13218507793191,1.1135716825799333
293,1.0919811717197754,1.1280497432727494,1.130515495310024
294,1.0782591098792478,1.145241186512682,1.1291715759634213
295,1.0608473586257499,1.1125918937749595,1.1257669321696808
296,1.1548740559625188,1.1290456832752365,1.1417247809263582
297,1.1215786861230272,1.1150764993720705,1.138202208770896
298,1.1020155901333981,1.1191770448711917,1.1191441781744802
299,1.1598953625502064,1.142730154859192,1.138932775524285
300,1.1598391941738864,1.1255671534081098,1.147438901834489
301,1.1789657623181284,1.141415365701536,1.1365158184064812
302,1.1141649475638022,1.119231248899875,1.1106977715549462
303,1.0839558220176644,1.1250883888082908,1.1142211866067135
304,1.0917670855764048,1.132788843861546,1.1186403057098095
305,1.7331800234492578,1.2721139316219632,1.119560937829853
306,1.1355174505384449,1.109279534582004,1.1185483505149396
307,1.0409079766259932,1.1020870229019106,1.1255061156413382
308,1.160905440249848,1.1352129560368338,1.1165047575574465
309,1.0653188655363857,1.133163556109188,1.1250490573504837
310,1.0631773508444213,1.1361788898775935,1.1187761422086528
311,1.2365889628550328,1.1181595589865523,1.1050323470412258
312,1.1042385355912456,1.1201274963487045,1.1017550397362137
313,1.2782784074004303,1.1408680592665676,1.1267610137195287
314,1.1860045409949482,1.1160416461369984,1.13205150778483
315,1.314622619769872,1.1331782899376868,1.1037010303190775
316,1.1643751379413516,1.1356577721038508,1.1191670944863854
317,1.0916470348262175,1.149478864426963,1.129115639081549
318,1.1326430720733334,1.102357386899302,1.1435118900318482
319,1.1801084929131802,1.1159799550257223,1.1918112871859385
320,1.079018589931994,1.131427655560908,1.1296769644399793
321,1.0764714172085101,1.1194679094447144,1.1439576980053
322,1.0888221889621859,1.1393579707471002,1.1259233468515437
323,1.0416200455527047,1.1269763320173718,1.1172775478525734
324,1.0918715090132867,1.1153167219979998,1.1172300457347715
325,1.1012624563435067,1.1182695526319992,1.1388322184908661
326,1.0574852218979203,1.114217166467015,1.1293498333507996
327,1.1977562228976995,1.128445629764729,1.1146883830955006
328,1.01502166285168,1.1543271193176134,1.1261433560340017
329,1.1005671474914682,1.0930752513135695,1.1187286492552613
330,1.0436092827822796,1.1136922683316208,1.132497153004956
331,1.0856725470567647,1.1141795959142864,1.132877267593735
332,1.1859585789580223,1.1364061017079987,1.1155184785653671
333,1.0780153081200678,1.131490531025454,1.1102049909283698
334,1.1127115203016442,1.1202686097536363,1.1383299040568275
335,1.1049994750344778,1.1196286077175537,1.1235503391678823
