chain_id,hmc_5,hmc_10,hmc_20,hmc_uniform_9,hmc_uniform_19,hmc_uniform_39,hmc_two_point_9,hmc_two_point_39,nuts
99,0.1292,0.1503,0.1444125,0.1530875,0.1398625,0.1419125,0.1443125,0.1422125,0.1487
100,0.135075,0.1422125,0.1557125,0.1356125,0.148075,0.1543625,0.1483,0.1487875,0.1473125
101,0.1329375,0.144775,0.1496875,0.1476875,0.1424375,0.1494375,0.1507625,0.1468125,0.145125
102,0.1405,0.135375,0.146075,0.137675,0.1396625,0.14835,0.1304875,0.1442875,0.1424
103,0.1405875,0.145275,0.14675,0.143175,0.1505625,0.1481,0.138275,0.1439125,0.1506
104,0.1468125,0.1644,0.146625,0.143,0.14125,0.148,0.1367875,0.1424625,0.14931250000000001
105,0.1384875,0.1461375,0.1424875,0.1618875,0.144675,0.152325,0.1392125,0.1427125,0.14702500000000002
106,0.1592125,0.1438125,0.149225,0.153825,0.1371375,0.1529,0.1525125,0.148825,0.1507
107,0.1419375,0.149,0.1447,0.139875,0.1457125,0.14615,0.14235,0.1738875,0.1472
108,0.159125,0.1548375,0.1491125,0.1347625,0.142525,0.143425,0.158375,0.147025,0.1474625
109,0.15855,0.1474375,0.1428375,0.159725,0.1505125,0.1524125,0.12855,0.1457125,0.15306250000000002
110,0.143125,0.142275,0.1505875,0.130775,0.1399125,0.1468375,0.1378375,0.142675,0.155375
111,0.1603,0.1434875,0.1504375,0.148125,0.1458125,0.15085,0.1505875,0.148825,0.15065
112,0.149725,0.1416125,0.1464625,0.1375875,0.14315,0.1501625,0.1504,0.14425,0.148475
113,0.142975,0.1435625,0.146525,0.13745,0.1570375,0.1393,0.1712375,0.139775,0.1452
114,0.1376,0.1416375,0.14605,0.154675,0.1492875,0.1379625,0.134975,0.1528875,0.1487
115,0.1382125,0.148425,0.1510875,0.1378125,0.150525,0.151575,0.1516875,0.139325,0.14785
116,0.1401,0.1458125,0.1436375,0.138825,0.150225,0.1474,0.1305125,0.1461625,0.152375
117,0.1870625,0.1442125,0.145875,0.1334375,0.1451375,0.14575,0.1410375,0.1542125,0.1486625
118,0.14515,0.1402625,0.1475375,0.147325,0.139125,0.1609375,0.1443125,0.1459,0.1468625
119,0.1421625,0.1441875,0.1379875,0.137825,0.141775,0.1459,0.1397,0.1452875,0.1444625
120,0.1452,0.1674125,0.1451,0.15025,0.1421875,0.14655,0.165825,0.148575,0.142275
121,0.125075,0.159075,0.1523625,0.1404625,0.151175,0.14245,0.169575,0.159275,0.1466625
122,0.134225,0.177275,0.1599,0.1479375,0.138475,0.1474625,0.1730875,0.145725,0.1441875
123,0.159475,0.145725,0.146025,0.1509,0.139075,0.14475,0.1390375,0.1604125,0.1503875
124,0.131475,0.1466125,0.1468,0.1465125,0.14515,0.1428125,0.1492125,0.1468375,0.1555375
125,0.1380875,0.145,0.1453375,0.1447625,0.1441375,0.14585,0.1276,0.1496625,0.1435875
126,0.1373375,0.1509125,0.1462,0.1472625,0.1562125,0.1451,0.162925,0.1433625,0.14665
127,0.1453875,0.167625,0.14555,0.1410625,0.1442625,0.139925,0.1554125,0.1494375,0.15157500000000002
128,0.16445,0.1511125,0.142825,0.1446125,0.1459125,0.1454875,0.1448625,0.1504,0.15175
129,0.1452875,0.142475,0.1416375,0.156025,0.145175,0.142375,0.13315,0.145975,0.1473875
130,0.1636625,0.1521125,0.14075,0.1511375,0.14645,0.1431125,0.1358,0.146425,0.14673750000000002
131,0.1417375,0.1463875,0.138975,0.1334375,0.1458375,0.145025,0.148225,0.137025,0.14905000000000002
132,0.13995,0.1366,0.15095,0.1376375,0.142275,0.144025,0.1498,0.146175,0.1507125
133,0.15405,0.1378625,0.141225,0.1513,0.204875,0.1452625,0.130375,0.1445,0.146125
134,0.1436125,0.1435125,0.1468375,0.1427375,0.1444875,0.1500125,0.133675,0.167375,0.1499875
135,0.130025,0.13425,0.152725,0.1185625,0.143825,0.1453375,0.1403125,0.1509125,0.1425375
136,0.152675,0.15825,0.1467375,0.156025,0.149075,0.148875,0.141625,0.1408625,0.1466875
137,0.1700875,0.1458375,0.14665,0.1425625,0.1357,0.1413875,0.1500625,0.1421,0.14223750000000002
138,0.1338625,0.148825,0.1512875,0.1396875,0.149675,0.1406,0.1513375,0.1383875,0.1460875
139,0.16345,0.140925,0.156275,0.1386125,0.1520875,0.1450125,0.1423375,0.1485,0.14351250000000002
140,0.1503625,0.143275,0.1486875,0.1328625,0.143275,0.1462375,0.132,0.1468875,0.14295
141,0.1569375,0.1438,0.146025,0.15245,0.141575,0.142725,0.1612375,0.1488125,0.1511625
142,0.146375,0.1433625,0.148375,0.1339125,0.133875,0.14325,0.1417375,0.1417875,0.1524625
143,0.145175,0.143925,0.1421125,0.135975,0.236875,0.154125,0.142875,0.1474625,0.14527500000000002
144,0.13035,0.1423375,0.141625,0.1425625,0.1428375,0.1414125,0.1372,0.1521875,0.1429
145,0.140925,0.140925,0.1483625,0.151175,0.158975,0.1419125,0.1287375,0.1364625,0.1463875
146,0.139,0.1411875,0.1529,0.138625,0.143225,0.1430625,0.1535875,0.15005,0.1504375
147,0.1398,0.1502875,0.144,0.143625,0.1475875,0.1492375,0.14145,0.155625,0.1472
148,0.150725,0.141075,0.1506375,0.1393625,0.1494375,0.1451875,0.1400125,0.147975,0.1491875
149,0.14385,0.1629,0.151575,0.151175,0.146,0.1455875,0.139275,0.1418125,0.146125
150,0.1373875,0.149925,0.1530375,0.145525,0.1426375,0.14705,0.2097375,0.1478875,0.15026250000000002
151,0.1394,0.154775,0.1383625,0.148175,0.1458125,0.1413,0.1366625,0.143525,0.1494875
152,0.0772,0.1436375,0.1386625,0.1335625,0.150775,0.1416125,0.1364375,0.138825,0.1418375
153,0.131275,0.142725,0.1553875,0.1472125,0.1475125,0.146975,0.137075,0.150775,0.1441125
154,0.1639,0.1434625,0.144425,0.1492375,0.1358875,0.1443625,0.1474625,0.1518625,0.1463125
155,0.1479625,0.142575,0.14645,0.1572125,0.139125,0.147425,0.144425,0.1430625,0.1487
156,0.1326875,0.134425,0.1438,0.141725,0.1536625,0.1499,0.1364875,0.1503375,0.1511875
157,0.1503375,0.1577,0.146825,0.1562875,0.1428,0.1418625,0.1504375,0.14915,0.145125
158,0.1459875,0.148875,0.139625,0.1633875,0.1557375,0.1482125,0.1376875,0.15045,0.14626250000000002
159,0.1482625,0.190975,0.149175,0.16305,0.14265,0.1437125,0.1483375,0.138625,0.14735
160,0.1240125,0.13535,0.146625,0.1452875,0.140075,0.143825,0.135275,0.1406125,0.1538875
161,0.1490875,0.140575,0.1438125,0.13435,0.1406625,0.1405625,0.1428375,0.1551875,0.15028750000000002
162,0.145275,0.1589,0.155875,0.140975,0.1381125,0.1498,0.1663125,0.150725,0.1503875
